competency_id,competency_name,title,url,citation,summary
FK.SS.2,Politics,"Beyond Idealized Citizenship Education: Embodied Cognition, Metaphors, and Democracy",https://doi.org/10.3102/0091732X11420927,"Fischman, G. E., & Haas, E. (2012). Beyond idealized citizenship education: Embodied cognition, metaphors, and democracy. Review of Research in Education, 36(1), 169–196. https://doi.org/10.3102/0091732X11420927","This article proposes a conceptual framework for civics education that integrates cognitive science to better align with how young people experience citizenship through identity, shared goals, and community experiences. The authors argue that schools should connect information about American democracy and civic responsibilities with students' burgeoning identities and real-world opportunities for active participation to make civics education more impactful than direct instruction."
FK.SS.2,Politics,Education For Democracy by Young People in Community-Based Organizations,https://doi.org/10.1177/0044118X11419535,"Checkoway, B. (2013). Education for democracy by young people in community-based organizations. Youth & Society, 45(3), 389–403. https://doi.org/10.1177/0044118X11419535","This article explores how community-based organizations foster civic competencies among young people, especially given declining civic engagement and the diminishing civic mission of public schools. It emphasizes that these programs, through experiential learning and active participation, are crucial for educating youth in democracy and empowering them to effectively engage with their communities beyond just voting."
FK.SS.2,Politics,Teaching Politics in the U.S. History Classroom,http://www.jstor.org/stable/43264378,"Journell, W. (2014). Teaching politics in the U.S. history classroom. The History Teacher, 48(1), 55-69. http://www.jstor.org/stable/43264378","The author advocates for an interdisciplinary approach in U.S. history classrooms to explore political implications and policymaking processes. This method helps students connect historical events to contemporary issues, deepening their understanding of electoral processes, civil rights, and governmental decisions, thereby enhancing critical thinking and analytical skills."
FK.SS.3,Economics,Economic Understanding in US High School Courses,https://doi.org/10.1257/aer.103.3.659,"Walstad, W. B. (2013). Economic understanding in US high school courses. American Economic Review, 103(3), 659-663. https://doi.org/10.1257/aer.103.3.659","This study examines how well high school courses prepare students to understand economic principles, noting significant variation in economic understanding across different student demographics and course types. The author emphasizes that a robust economic curriculum, especially through methods like case studies and data analysis, is essential for preparing students to navigate complex economic issues as adults."
FK.SS.3,Economics,Neuroeconomics,,"Glimcher, P. W., Camerer, C. F., Fehr, E., & Poldrack, R. A. (2009). Neuroeconomics. Academic Press.","This authoritative text outlines the convergence of psychology, economics, and neurology to understand the neural correlates of economic decision-making. It examines how neurobiology and neurochemistry impact decision-making processes, including risk, reward, value assignment, and social cognition, which has potential implications for how classroom teachers and students learn economic theory."
FK.SS.3,Economics,"Perspectives on Economics in the School Curriculum: Coursework, Content, and Research",https://doi.org/10.1080/00220485.2015.1040185,"Walstad, W. B., & Watts, M. (2015). Perspectives on economics in the school curriculum: Coursework, content, and research. The Journal of Economic Education, 46(3), 324-339. https://doi.org/10.1080/00220485.2015.1040185","This review highlights the growing number of high school students taking economics, but notes significant variations in teaching quality and content across states. The authors advocate for integrating foundational economic concepts into various subjects to ensure students develop critical thinking and ethical reasoning about economic issues, preparing them for real-world economic challenges."
FK.SS.3,Economics,Problem-Based Learning and High School Macroeconomics: A Comparative Study of Instructional Methods,https://doi.org/10.3200/JECE.36.4.315-331,"Maxwell, N. L., Mergendoller, J. R., & Bellisimo, Y. (2005). Problem-based learning and high school macroeconomics: A comparative study of instructional methods. The Journal of Economic Education, 36(4), 315-329. https://doi.org/10.3200/JECE.36.4.315-331","This study compares different instructional methods in high school macroeconomics. The findings suggest that certain approaches, such as problem-based learning, can be more effective in fostering economic understanding and analytical skills. This is relevant to the economics competency as it focuses on enhancing students' ability to analyze economic forces and develop solutions to real-world problems."
FK.SS.4,Cultures,An Attainable Global Perspective,https://doi.org/10.1080/00405848209543001,"Hanvey, R.G. (1982). An attainable global perspective. Theory Into Practice, 21, 162–167. https://doi.org/10.1080/00405848209543001","This article argues that a global perspective is a blend of elements and capacities developed over time, focusing on cultural understanding. It highlights that recognizing one's culturally shaped worldview and the validity of other perspectives helps individuals appreciate how cultures develop and are sustained. Understanding global trends and acknowledging responses to challenges builds awareness of human choices and supports the cultivation of a global perspective as a necessary educational component."
FK.SS.4,Cultures,Historical Reasoning: Towards a Framework for Analyzing Students' Reasoning About the Past,https://doi.org/10.1007/s10648-007-9056-1,"van Drie, J., & van Boxtel, C. (2008). Historical reasoning: Towards a framework for analyzing students' reasoning about the past. Educational Psychology Review, 20(2), 87–110. https://doi.org/10.1007/s10648-007-9056-1","This review proposes a framework for analyzing historical reasoning in secondary education, defining it as the ability to organize information about the past to describe, explain, and compare historical phenomena. It emphasizes that students need to acquire skills like asking historical questions, contextualizing events, and utilizing historical concepts to analyze and discuss historical events. Incorporating these skills into history education enhances students' understanding and reasoning abilities."
FK.SS.4,Cultures,Critical Consciousness: A Critique and Critical Analysis of the Literature,https://pmc.ncbi.nlm.nih.gov/articles/PMC5892452/pdf/nihms893449.pdf,"Jemal, A. (2017). Critical consciousness: A critique and critical analysis of the literature. The Urban Review, 49, 602-626. https://pmc.ncbi.nlm.nih.gov/articles/PMC5892452/pdf/nihms893449.pdf","This article critiques Freire's work on critical consciousness and proposes a new socio-cognitive construct of transformative potential, which combines metacognitive awareness of one's potential to impact the world with the ability and motivation to act. This framework provides educators with a clear theoretical basis for cultivating students' knowledge of historical and current cultures, their ability to identify cross-cultural similarities and differences, and their capacity to translate knowledge into action. It emphasizes creating cycles of reflection and action through tools like critical dialogue and real-world projects to help students understand cultural origins and how they can change or be changed by cultures."
FK.SS.4,Cultures,"Agency, Choice and Historical Action: How History Teaching Can Help Students Think About Democratic Decision Making",https://www.las2.se/wp-content/uploads/2019/10/Barton_2012.pdf,"Barton, K. C. (2012). Agency, choice and historical action: How history teaching can help students think about democratic decision making. Citizenship Teaching & Learning, 7(2), 131–142. https://www.las2.se/wp-content/uploads/2019/10/Barton_2012.pdf","This commentary argues that students require refined historical inquiry methods to interpret the past and inform present choices. Barton asserts that social studies teaching should expose students to historical debates and diverse opinions to connect the agency of historical actors with the choices students face today. The pedagogy should foster both historical knowledge about culture and society and a metacognitive awareness that students are agentic individuals, enabling them to contribute to social change, anticipate consequences, and enhance societal participation."
FL.ID.1,Making Meaning,The Synthesizing Mind: Making Sense of the Deluge of Information,,"Gardner, H. (2007). The synthesizing mind: Making sense of the deluge of information. In M. Sánchez Sorondo, E. Malinvaud, & P. Léna (Eds.), Globalization and education: Proceedings of the joint working group, The Pontifical Academy of Sciences, The Pontifical Academy of Social Sciences, 19-17 November 2005, Casino Pio IV (pp. 3-18). De Gruyter.","This article highlights that synthesis is not only critical in academic contexts but is also essential in professional and everyday life, helping individuals make informed decisions and develop innovative solutions. The author argues for the importance of explicitly teaching synthesis in educational settings, emphasizing project-based learning where students practice integrating diverse information sources. As information continues to grow exponentially, the ability to synthesize will become even more critical, marking it as a key skill for future success in numerous fields."
FL.ID.1,Making Meaning,Disciplinary Literacies and Learning to Read for Understanding: A Conceptual Framework for Disciplinary Literacy,https://doi.org/10.1080/00461520.2016.1168741,"Goldman, S. R., Britt, M. A., Brown, W., Cribb, G., George, M., Greenleaf, C., Lee, C.D. & Project READI. (2016). Disciplinary literacies and learning to read for understanding: A conceptual framework for disciplinary literacy. Educational Psychologist, 51(2), 219-246. https://doi.org/10.1080/00461520.2016.1168741","This study provides a comprehensive framework for enhancing literacy and learning in three key disciplines in middle and secondary school: literature, science, and history. Certain reading, reasoning, and argumentation skills are considered essential for engaging in knowledge generation across all disciplines. For example, all disciplines require students to engage in close reading of texts, which includes understanding complex text structures, interpreting meaning, engaging in relevant inquiry (i.e., asking effective questions), and evaluating content critically."
FL.ID.1,Making Meaning,Teaching and Learning Argumentative Reading and Writing: A Review of Research,https://doi.org/10.1598/RRQ.46.3.4,"Newell, G.E., Beach, R., Smith, J., & VanDerHeide, J. (2011). Teaching and learning argumentative reading and writing: A review of research. Reading Research Quarterly, 46, 273-304. https://doi.org/10.1598/RRQ.46.3.4","Argumentative tasks enhance students' cognitive skills by requiring them to ask critical questions about texts, identify key arguments, analyze evidence, and synthesize information. Synthesis is also highlighted as a crucial cognitive skill in argumentation, as it involves drawing together diverse pieces of information, ideas, and evidence from multiple texts or discussions to construct well-supported arguments. This skill is crucial for developing strong, persuasive essays and presentations."
FL.ID.1,Making Meaning,Teaching and Learning Information Synthesis: An Intervention and Rubric Based Assessment,https://doi.org/10.15760/comminfolit.2015.9.1.176,"Lundstrom, K., Diekema, A.R., Leary, H.M., Haderlie, S., & Holliday, W. (2015). Teaching and learning information synthesis: An intervention and rubric based assessment. Communications in Information Literacy, 9(1), 60-82. https://doi.org/10.15760/comminfolit.2015.9.1.176","This study explores effective strategies for teaching and evaluating information synthesis skills, testing an instructional method to teach and assess the skill of information synthesis in academic writing. The intervention appeared to enhance students' ability to synthesize information, as evidenced by improved synthesis in their writing assignments post-lesson. The findings suggest that teaching synthesis effectively requires more than a single lesson and should be integrated throughout the curriculum to better prepare students for complex writing tasks."
FL.ID.1,Making Meaning,To Build a Better Question,,"Kelley-Mudie, S., & Phillips, J. (2016). To build a better question. Knowledge Quest, 44(5), 14-19.","Good questions are the foundation of critical thinking; they initiate deeper inquiry and learning. Being ""question-literate"" means being able to construct and comprehend questions effectively. The authors advocate for deliberately teaching questioning as a skill, both as an end in itself and as a means to deepen student engagement."
FL.ID.2,Persuasive Communication,Effect of Scientific Argumentation on the Development of Critical Thinking,"https://doi.org/10.1007/s11191-020-00120-","Giri, V., & Paily, M.U. (2020). Effect of scientific argumentation on the development of critical thinking. Science & Education, 29, 673-690. https://doi.org/10.1007/s11191-020-00120-","This study examines the role of scientific argumentation in enhancing critical thinking skills within the context of secondary education in biology. Students who participated in a scientific argumentation-based approach showed significant improvement in their critical thinking abilities compared to those who experienced traditional teaching, indicating that the structured argumentation approach effectively develops higher-order thinking skills. The process of scientific argumentation also inherently involves persuasive communication, where students learn to construct and present arguments that are persuasive in nature, supported by empirical evidence and logical reasoning."
FL.ID.3,Critical Dialogue,Teaching and Learning Argumentative Reading and Writing: A Review of Research,https://doi.org/10.1598/RRQ.46.3.4,"Newell, G.E., Beach, R., Smith, J., & VanDerHeide, J. (2011). Teaching and learning argumentative reading and writing: A review of research. Reading Research Quarterly, 46, 273-304. https://doi.org/10.1598/RRQ.46.3.4","This article highlights how engaging students in argumentative reading and writing helps them develop empathy by considering different viewpoints during discussions and debates. Argumentative tasks enhance students' cognitive skills by requiring them to critically engage with texts, identify key arguments, analyze evidence, and synthesize information. The review emphasizes the importance of understanding the structural components of arguments—such as claims, evidence, and warrants—as essential for persuasive writing."
FL.ID.3,Critical Dialogue,Socratic Pedagogy: The Importance of Argument,https://doi.org/10.1515/9781400883509-007,"Nussbaum, M. (2017). Socratic pedagogy: The importance of argument. In Not for profit: Why democracy needs the humanities (pp. 47–78). Princeton University Press. https://doi.org/10.1515/9781400883509-007","This chapter champions Socratic pedagogy as essential for civic education, asserting that critical questioning and intellectual independence are necessary for students to achieve high intellectual and civic outcomes. By promoting argumentative skills and critical thinking, Socratic pedagogy not only prepares students for democratic participation but also for personal growth and ethical reflection. It encourages students to examine their values and decisions, contributing to more thoughtful and engaged citizenship."
FL.ID.3,Critical Dialogue,"School Mathematics Reform, Constructivism, and Literacy: A Case for Literacy Instruction in the Reform-Oriented Math Classroom",,"Draper, R.J. (2002). School mathematics reform, constructivism, and literacy: A case for literacy instruction in the reform-oriented math classroom. Journal of Adolescent & Adult Literacy, 45(6), 520-529.","This article argues that literacy skills—such as reading, writing, and reasoning—are integral to effective mathematics education, as these skills help students understand and communicate mathematical concepts more clearly. The article emphasizes the importance of fostering mathematical discourse in the classroom by encouraging students to articulate their mathematical thinking, engage in discussions, and debate mathematical ideas, which are essential aspects of critical dialogue. Through constructivist teaching methods, teachers encourage students to question and explore mathematical concepts, which naturally leads to richer dialogues and debates about these topics."
FL.ID.3,Critical Dialogue,Peer Assessment,https://doi.org/10.1080/00405840802577569,"Topping, K. J. (2009). Peer assessment. Theory Into Practice, 48(1), 20–27. https://doi.org/10.1080/00405840802577569","Peer assessment involves students assessing the level, value, or quality of a product or performance of their peers, which supports the development of both cognitive and metacognitive skills. Topping emphasizes that peer assessment should involve not only providing feedback but also engaging in discussions about that feedback that require students to explain and justify their reasoning. This interaction requires students to consider their audience and refine their judgment using critical thinking skills."
FL.ID.3,Critical Dialogue,Establishing the Norms of Scientific Argumentation in Classrooms,https://doi.org/10.1002/(SICI)1098-237X(200005)84:3<287::AID-SCE1>3.0.CO;2-A,"Driver, R., Newton, P., & Osborne, J. (2000). Establishing the norms of scientific argumentation in classrooms. Science Education, 84(3), 287-312. https://doi.org/10.1002/(SICI)1098-237X(200005)84:3<287::AID-SCE1>3.0.CO;2-A","This article posits that argument and argumentative practice are central activities in the scientific community, vital for the resolution of scientific controversies and the progression of scientific knowledge, and argues for the inclusion of argumentation in science education to reflect the true nature of scientific processes. The authors argue that a number of important skills are practiced through argumentation, such as critical examination, dialogic argument, and construction of knowledge."
FL.MST.1,Computational Thinking,"Learning to Think Mathematically: Problem Solving, Metacognition, and Sense Making in Mathematics",https://doi.org/10.1177/002205741619600202,"Schoenfeld, A. H. (2016). Learning to think mathematically: Problem solving, metacognition, and sense making in mathematics (Reprint). Journal of Education, 196(2), 1–38. https://doi.org/10.1177/002205741619600202","This seminal article offers a comprehensive exploration of mathematical thinking, focusing on the processes that support effective problem solving and understanding in mathematics. It details various important components of mathematical problem solving, including expressing equivalencies, using computational tools, pattern recognition, and checking results. The article suggests that curricula should be designed to include opportunities for students to engage deeply with mathematical concepts through problem solving in real-world contexts, metacognitive reflection, and sense making, prioritizing understanding and critical thinking over rote learning."
FL.MST.1,Computational Thinking,Computational Thinking,https://doi.org/10.1145/1118178.1118215,"Wing, J. (2006). Computational thinking. Communications of the ACM, 49(3), 33–35. https://doi.org/10.1145/1118178.1118215","This article, largely credited with bringing computational thinking to the forefront of education discourse, emphasizes that it is an essential skill for everyone, not just computer scientists, advocating its addition to basic analytical abilities alongside reading, writing, and arithmetic. It explains that computational thinking involves understanding the capabilities and limitations of both humans and computers in solving problems, enhancing problem-solving skills through methods such as abstraction, automation, and algorithm design. The author advocates for the integration of computational thinking into all levels of education, suggesting it be taught from an early age to enable individuals to tackle larger, more complex problems and design systems beyond current capabilities."
FL.MST.1,Computational Thinking,Defining Computational Thinking for Mathematics and Science Classrooms,https://doi.org/10.1007/s10956-015-9581-5,"Weintrop, D., Beheshti, E., Horn, M., Orton, K., Jona, K., Trouille, L., & Wilensky, U. (2016). Defining computational thinking for mathematics and science classrooms. Journal of Science Education and Technology, 25(1), 127-147. https://doi.org/10.1007/s10956-015-9581-5","This article underlines the growing importance of computational thinking in science and mathematics, noting its inclusion in recent educational standards, and viewing its integration as essential for preparing students for a technology-driven world. For high school students, developing computational thinking skills is vital as these skills are foundational for understanding and innovating within any scientific and mathematical context, enhancing domain-specific knowledge and cultivating a deeper understanding of digital technologies and their applications. The proposed taxonomy breaks down computational thinking into specific component skills across four main categories: data practices, modeling and simulation practices, computational problem-solving practices, and systems thinking practices."
FL.MST.2,Mathematical Modeling,The Learning and Teaching of Mathematical Modelling,https://doi.org/10.4324/9781315189314,"Niss, M., & Blum, W. (2020). The learning and teaching of mathematical modelling (1st ed.). Routledge. https://doi.org/10.4324/9781315189314","This source emphasizes the importance of mathematical modeling in mathematics education as a tool for solving real-world problems and developing deep mathematical understanding. It outlines the modeling process cycle and identifies key supporting skills like problem structuring, making assumptions, performing mathematical operations, and critically evaluating results."
FL.MST.2,Mathematical Modeling,"A Systematic Literature Review of the Current Discussion on Mathematical Modelling Competencies: State-of-the-Art Developments in Conceptualizing, Measuring, and Fostering",https://doi.org/10.1007/s10649-021-10104-6,"Cevikbas, M., Kaiser, G., & Schukajlow, S. (2022). A systematic literature review of the current discussion on mathematical modelling competencies: State-of-the-art developments in conceptualizing, measuring, and fostering. Educational Studies in Mathematics, 109, 205–236. https://doi.org/10.1007/s10649-021-10104-6","This review examines literature on mathematical modeling competencies, highlighting a global consensus on their importance in education for solving real-world problems. It discusses effective pedagogical practices like integrating modeling tasks into the curriculum and project-based learning, as well as common assessment methods like task-based assessments and rubrics that evaluate specific modeling aspects."
FL.MST.2,Mathematical Modeling,Modelling Competencies — Overview,https://doi.org/10.1007/978-0-387-29822-1_22,"Greer, B., &Verschaffel, L. (2007). Modelling competencies Overview. In: Blum, W., Galbraith, P.L., Henn, HW., & Niss, M. (eds) Modelling and Applications in Mathematics Education (New ICMI Study Series, vol 10, pp. 219-224). Springer US. https://doi.org/10.1007/978-0-387-29822-1_22","This chapter provides an overview of modeling competencies within mathematics education, categorizing modeling activities into implicit, explicit, and critical levels. It emphasizes developing these competencies for mathematical literacy and real-world problem-solving, with critical modeling involving evaluating models, their assumptions, and limitations."
FL.MST.2,Mathematical Modeling,Mathematical Modeling of Tech-Related Real-World Problems for Secondary School-Level Mathematics,https://doi.org/10.1007/s10649-020-10020-1,"Kohen, Z., & Orenstein, D. (2021). Mathematical modeling of tech-related real-world problems for secondary school-level mathematics. Educational Studies in Mathematics, 107, 71–91. https://doi.org/10.1007/s10649-020-10020-1","This article proposes enhancing mathematics education by connecting classroom learning to real-world technology applications through mathematical modeling. It describes a framework for integrating tech-related problems into the curriculum, fostering engagement, motivation, and higher-order thinking skills like problem-solving and critical analysis."
FL.MST.2,Mathematical Modeling,Beyond Motivation: Exploring Mathematical Modeling as a Context for Deepening Students' Understandings of Curricular Mathematics,https://doi.org/10.1007/s10649-005-9002-4,"Zbiek, R.M., & Conner, A. (2006.) Beyond motivation: Exploring mathematical modeling as a context for deepening students' understandings of curricular mathematics. Educational Studies in Mathematics 63, 89-112. https://doi.org/10.1007/s10649-005-9002-4","This study demonstrates that mathematical modeling effectively deepens students' comprehension of curricular mathematics by applying concepts to complex, real-world scenarios. It highlights how these activities promote higher-level cognitive engagement, problem-solving, critical thinking, and bridge the gap between abstract theories and practical applications."
FL.MST.3,Interpreting Data,Future of Jobs Report 2025,https://www.weforum.org/reports/the-future-ofjobs-report-2025/,World Economic Forum. (2022). Future of jobs report 2025. World Economic Forum. https://www.weforum.org/reports/the-future-ofjobs-report-2025/,"The Future of Jobs Report 2025 underscores the critical importance of data literacy and the ability to work effectively with data in evolving job markets. It highlights the transformation of industries by digital access, AI, and big data, necessitating a workforce proficient in data interpretation and analysis. The report predicts significant job growth in roles like big data specialists and data analysts, emphasizing data skills for career advancement, job security, and adapting to rapid market changes."
FL.MST.3,Interpreting Data,Data Literacy: Real-World Learning Through Problem-Solving With Data Sets,http://www.jstor.org/stable/43694208,"Erwin, R. W. (2015). Data literacy: Real-world learning through problem-solving with data sets. American Secondary Education, 43(2), 18–26. http://www.jstor.org/stable/43694208","This article emphasizes teaching students to interpret data through real-world applications to highlight its relevance in professional and daily life. It argues that data interpretation skills are best developed through project-based learning with real data sets, which fosters deep engagement, meaningful conclusions, critical thinking, and interdisciplinary understanding."
FL.MST.3,Interpreting Data,Getting Messy with Authentic Data: Exploring the Potential of Using Data from Scientific Research to Support Student Data Literacy,https://doi.org/10.1187/cbe.18-02-0023,"Kjelvik, M. K., & Schultheis, E. H. (2019). Getting messy with authentic data: Exploring the potential of using data from scientific research to support student data literacy. CBE—Life Sciences Education, 18(2). https://doi.org/10.1187/cbe.18-02-0023","This article highlights the educational value of using authentic scientific datasets, which often include variability, outliers, and missing values, to develop a realistic understanding of data work. It discusses integrating data science tools like statistical software into education and emphasizes that effective data literacy involves both knowing how and when to apply these tools appropriately."
FL.MST.4,Scientific Investigation,"Intrinsic Motivation, Self-Efficacy, and Interest in Science/ Fostering Students' Identification With Mathematics and Science",http://www.jstor.org/stable/j.ctt1s474j0.17,"Glynn, S. M., Bryan, R. R., Brickman, P., & Armstrong, N. (2015). Intrinsic motivation, self-efficacy, and interest in science. In K. A. Renninger, M. Nieswandt, & S. Hidi (Eds.), Interest in mathematics and science learning (pp. 189–202). American Educational Research Association. http://www.jstor.org/stable/j.ctt1s474j0.17 Jones, B. D., Ruff, C., & Osborne, J. W. (2015). Fostering students' identification with mathematics and science. In K. A. Renninger, M. Nieswandt, & S. Hidi (Eds.), Interest in mathematics and science learning (pp. 331–352). American Educational Research Association. http://www.jstor.org/stable/j.ctt1s474j0.25","These book chapters highlight the crucial roles of intrinsic motivation, self-efficacy, and interest in fostering scientific literacy among high school and college students, emphasizing that these elements are essential for all students to effectively engage with scientific concepts. The findings indicate that intrinsic motivation and self-efficacy are mutually reinforcing and strongly associated with students' science achievement, and fostering students' incorporation of mathematics and science into their identity is critical for sustained interest and commitment. Improving science and math outcomes requires educational environments that promote personal engagement, relevance, and identification with mathematical and scientific concepts, through real-world applications, projects, collaborative work, and opportunities for students to explore their own scientific questions."
FL.MST.4,Scientific Investigation,Effects of Inquiry-Based Approaches on Students' Higher-Order Thinking Skills in Science: A Meta-Analysis,https://doi.org/10.46328/ijemst.3216,"Antonio, R.P. & Prudente M.S. (2024). Effects of inquiry-based approaches on students' higher-order thinking skills in science: A meta-analysis. International Journal of Education in Mathematics, Science, and Technology, 12(1), 251-281. https://doi.org/10.46328/ijemst.3216","This meta-analysis concludes that inquiry-based science learning significantly enhances students' higher-order thinking skills by engaging them in key phases like posing questions, conducting investigations, interpreting data, and drawing conclusions. This hands-on method helps students develop critical thinking, problem-solving, collaborative, and data interpretation skills, fostering a deeper understanding of scientific concepts. Inquiry-based science also increases student engagement and interest by linking educational content with real-world applications, making learning more relevant and enjoyable."
